2023-05-25 15:40:24,930 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-05-25 15:40:24,955 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-05-25 15:40:24,955 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2023-05-25 15:40:24,956 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2023-05-25 15:40:24,977 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2023-05-25 15:40:24,977 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2023-05-25 15:40:25,082 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2023-05-25 16:19:19,240 INFO  SwAddin.cs: 271 - Assembly export called for file Body_and_1_leg.SLDASM
2023-05-25 16:19:19,242 INFO  SwAddin.cs: 276 - Save is required
2023-05-25 16:19:19,243 INFO  SwAddin.cs: 290 - Saving assembly
2023-05-25 16:19:19,406 INFO  SwAddin.cs: 293 - Opening property manager
2023-05-25 16:19:19,414 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Body_and_1_leg.SLDASM
2023-05-25 16:19:19,435 INFO  ExportHelperExtension.cs: 1142 - Found 29 in Body_and_1_leg.SLDASM
2023-05-25 16:19:19,435 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Body_and_1_leg.SLDASM
2023-05-25 16:19:19,436 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2023-05-25 16:19:19,437 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2023-05-25 16:19:19,437 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from leg-1
2023-05-25 16:19:19,438 INFO  ExportHelperExtension.cs: 1142 - Found 33 in leg-1
2023-05-25 16:19:19,438 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in leg-1
2023-05-25 16:19:19,438 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body-1
2023-05-25 16:19:19,439 INFO  ExportHelperExtension.cs: 1142 - Found 34 in body-1
2023-05-25 16:19:19,439 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body-1
2023-05-25 16:19:19,439 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from motor-2
2023-05-25 16:19:19,439 INFO  ExportHelperExtension.cs: 1142 - Found 36 in motor-2
2023-05-25 16:19:19,440 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in motor-2
2023-05-25 16:19:19,440 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from Body_and_1_leg.SLDASM
2023-05-25 16:19:19,440 INFO  ExportHelperExtension.cs: 1142 - Found 29 in Body_and_1_leg.SLDASM
2023-05-25 16:19:19,440 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in Body_and_1_leg.SLDASM
2023-05-25 16:19:19,441 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2023-05-25 16:19:19,441 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2023-05-25 16:19:19,441 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from leg-1
2023-05-25 16:19:19,441 INFO  ExportHelperExtension.cs: 1142 - Found 33 in leg-1
2023-05-25 16:19:19,441 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in leg-1
2023-05-25 16:19:19,441 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body-1
2023-05-25 16:19:19,442 INFO  ExportHelperExtension.cs: 1142 - Found 34 in body-1
2023-05-25 16:19:19,442 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body-1
2023-05-25 16:19:19,442 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from motor-2
2023-05-25 16:19:19,442 INFO  ExportHelperExtension.cs: 1142 - Found 36 in motor-2
2023-05-25 16:19:19,443 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in motor-2
2023-05-25 16:19:19,615 INFO  SwAddin.cs: 316 - Loading config tree
2023-05-25 16:19:19,618 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2023-05-25 16:19:19,620 INFO  SwAddin.cs: 321 - Showing property manager
2023-05-25 16:19:38,072 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-05-25 16:20:30,628 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
